product_name,manufacturer,application_type,profiles,addons,firmware_version,certification_date
B2-210,2082 Technology LLC dba Bolin Technology,device,"S, G",,2.00 20240329,2024-04-08T13:51:58.9264332+08:00
B2-220,2082 Technology LLC dba Bolin Technology,device,"S, G",,2.00 20240329,2024-04-08T11:26:58.7673773+08:00
B6-420,2082 Technology LLC dba Bolin Technology,device,"S, G",,1.00 20240329,2024-04-09T13:34:10.9099112+08:00
B7-220,2082 Technology LLC dba Bolin Technology,device,"S, G",,2.00 20240329,2024-04-08T14:52:12.9521243+08:00
EXU230H,2082 Technology LLC dba Bolin Technology,device,"S, G",,2.00 20240410,2024-04-10T15:00:59.1480111+08:00
EXU248F,2082 Technology LLC dba Bolin Technology,device,S,,C1E37350D0A101010,2024-10-28T09:41:32.0011106+08:00
EXU248FW,2082 Technology LLC dba Bolin Technology,device,S,,C1E37350D0A101010,2024-10-28T10:49:55.4259253+08:00
EXU248N,2082 Technology LLC dba Bolin Technology,device,S,,C1E37350D0A101010,2024-10-28T16:19:25.0204736+08:00
EXU248NW,2082 Technology LLC dba Bolin Technology,device,S,,C1E37350D0A101010,2024-10-29T08:39:09.946819+08:00
EXU420F,2082 Technology LLC dba Bolin Technology,device,S,,C1E37470D0A101016,2024-10-26T10:12:44.8320614+08:00
EXU420FW,2082 Technology LLC dba Bolin Technology,device,S,,C1E37470D0A101016,2024-10-26T11:42:28.4276853+08:00
EXU420N,2082 Technology LLC dba Bolin Technology,device,S,,C1E37470D0A101016,2024-10-25T10:17:47.820659+08:00
EXU420NW,2082 Technology LLC dba Bolin Technology,device,S,,C1E37470D0A101016,2024-10-25T17:51:13.4776804+08:00
R9-230H,2082 Technology LLC dba Bolin Technology,device,"S, G",,2.00 20240407,2024-04-08T16:04:05.906369+08:00
R9-418F,2082 Technology LLC dba Bolin Technology,device,S,,C1D37350D0A101055,2024-10-25T12:12:44.9974703+08:00
R9-418FW,2082 Technology LLC dba Bolin Technology,device,S,,C1D37350D0A101055,2024-10-25T17:44:17.2071681+08:00
R9-418N,2082 Technology LLC dba Bolin Technology,device,S,,C1D37350D0A101055,2024-10-24T17:57:58.3900688+08:00
R9-418NW,2082 Technology LLC dba Bolin Technology,device,S,,C1D37350D0A101055,2024-10-25T09:31:33.6404205+08:00
R9-420F,2082 Technology LLC dba Bolin Technology,device,S,,C1D37470D0A101070,2024-10-25T15:56:28.0374038+08:00
R9-420FW,2082 Technology LLC dba Bolin Technology,device,S,,C1D37470D0A101070,2024-10-25T17:50:57.391331+08:00
R9-420N,2082 Technology LLC dba Bolin Technology,device,S,,C1D37470D0A101070,2024-10-26T13:32:15.9104566+08:00
R9-420NW,2082 Technology LLC dba Bolin Technology,device,S,,C1D37470D0A101070,2024-10-26T17:22:47.6150637+08:00
2N® IP One,2N TELEKOMUNIKACE,device,"T, S",,2.42.1.55.3,2024-02-27T11:53:31.9507573+01:00
2N® IP Style,2N TELEKOMUNIKACE,device,"T, S",,2.42.1.55.3,2024-02-27T10:47:08.3097492+01:00
2N® IP Verso 2.0,2N TELEKOMUNIKACE,device,"T, S",,2.42.1.55.3,2024-02-23T16:16:17.3930762+01:00
2N® SIP Speaker Horn,2N TELEKOMUNIKACE,device,S,,2.39.0.51.1,2023-03-30T11:59:29.523468+02:00
HD_PREDATOR,360 Vision Technology Ltd,device,S,,PREDATOR_HD_3_03_25,2026-03-24T09:37:01.1936981+00:00
Invictus HD,360 Vision Technology Ltd,device,S,,INVICTUS_HD_3_04_04,2026-01-26T16:58:20.7898538+00:00
INVICTUS_HD,360 Vision Technology Ltd,device,S,,INVICTUS_HD_3_01_33,2023-08-03T14:38:37.9765515+01:00
Predator HD,360 Vision Technology Ltd,device,S,,PREDATOR_HD_3_03_23,2025-11-04T10:20:06.3508502+00:00
PREDATOR_HD,360 Vision Technology Ltd,device,S,,PREDATOR_HD_3_01_33,2023-08-03T11:05:17.2795025+01:00
16073M-BE,3S System Technology,device,"T, S, G",,V1.00.0_STD-1,2023-05-17T17:43:21.8720833+08:00
16079M-BEX,3S System Technology,device,"T, S, G",,V1.00.0_STD-1,2023-05-17T09:30:50.3220222+08:00
N342B1,3S System Technology,device,"T, S, G",,V1.00.0_STD-1,2024-04-17T10:48:34.009704+08:00
N362B1,3S System Technology,device,"M, T, S, G",,V31.35.8.2.4.1_240410,2024-04-20T17:25:09.516385+08:00
N392B1,3S System Technology,device,"T, S, G",,V1.00.0_STD-1,2024-02-16T10:33:08.6364687+08:00
N426P1,3S System Technology,device,"T, S, G",,V1.00.0_STD-1,2024-12-18T15:51:04.7779752+08:00
